"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","주 출입구 접근로 설치여부","장애인 전용 주차구역 지정여부","주 출입구 높이차이 제거여부","출입구(문) 설치유무","복도","계단/승강기/경사로/휠체어리프트 유무","장애인용 대변기 설치여부","장애인용 소변기 설치여부","점자블록 설치여부","유도 및 안내설비 설치여부","경보 및 피난설비 설치여부","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 성북구","1129012200","01","S010000510","용문고등학교","04","사립","N","","단순설치","단순설치","미설치","미설치","미설치","미설치","적정설치","적정설치","적정설치","적정설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 용산구","1117010200","01","S010000511","용산고등학교","04","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 노원구","1135010500","01","S010000512","용화여자고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 구로구","1153010900","01","S010000513","우신고등학교","04","사립","N","","적정설치","적정설치","적정설치","미설치","적정설치","미설치","적정설치","적정설치","미설치","적정설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 강남구","1168011800","01","S010000514","은광여자고등학교","04","사립","N","","미설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","미설치","미설치","미설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 은평구","1138011400","01","S010000515","은평메디텍고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 중구","1114016700","01","S010000516","이화여자고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 서대문구","1141011300","01","S010000517","이화여자대학교사범대학부속이화금란고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 서대문구","1141010100","01","S010000518","인창고등학교","04","사립","N","","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","적정설치","미설치","적정설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 관악구","1162010100","01","S010000519","인헌고등학교","04","공립","N","","적정설치","단순설치","적정설치","적정설치","미설치","적정설치","적정설치","적정설치","미설치","미설치","적정설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 광진구","1121510500","01","S010000521","자양고등학교","04","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","단순설치","단순설치","단순설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 송파구","1171010100","01","S010000522","잠신고등학교","04","공립","N","","적정설치","적정설치","미설치","미설치","미설치","적정설치","적정설치","적정설치","미설치","미설치","미설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 송파구","1171010200","01","S010000523","잠실고등학교","04","공립","N","","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","적정설치","단순설치","4","고","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 송파구","1171010400","01","S010000524","잠실여자고등학교","04","사립","N","","적정설치","적정설치","미설치","적정설치","미설치","미설치","적정설치","단순설치","적정설치","미설치","미설치","","","2021"
"서울특별시교육청","B100000001","서울특별시교육청","B100000001","서울특별시 중구","1114016200","01","S010000525","장충고등학교","04","사립","N","","미설치","적정설치","미설치","미설치","미설치","미설치","미설치","적정설치","미설치","적정설치","적정설치","4","고","2021"
